SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,River Water Level (m),Area (m2),Velocity (m/sec),Total_discharge (m3/sec)
119,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-24 09:00:00,0.45,1470.641,0.595,546.404
120,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-25 09:00:00,0.7,1514.613,0.543,482.881
121,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-26 09:00:00,0.35,1453.431,0.595,527.552
122,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-28 09:00:00,-0.8,1398.793,0.475,347.322
123,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-29 09:00:00,-1.2,1247.797,0.589,384.819
124,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-30 09:00:00,-2.05,1154.572,0.406,294.471
125,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-31 09:00:00,-1.45,1112.316,0.458,272.143
126,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-01-09 09:00:00,-1.55,1197.7931,0.44065,330.88876
127,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-02-09 09:00:00,-1.8,1165.2656,0.40640002,269.0599
128,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-04-09 09:00:00,-1.15,1233.3167,0.4749,416.99924
129,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-05-09 09:00:00,-0.45,1314.9766,0.50915,426.07428
130,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-06-09 09:00:00,-0.10000001,1398.1461,0.54340005,466.7644
131,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-08-09 09:00:00,0.20000002,1437.0061,0.594775,563.5567
132,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-09 09:00:00,-0.35,1343.9366,0.50915,450.62894
133,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-11-09 09:00:00,-1.55,1203.2141,0.423525,335.22626
134,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-12-09 09:00:00,-2.2,1128.7006,0.37215003,255.93195
135,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-13 09:00:00,-1.7,1194.2015,0.50915,405.0671
136,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-14 09:00:00,-1.8,1166.3281,0.423525,257.52634
137,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-19 09:00:00,,1381.7616,0.37215003,284.21057
138,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-20 09:00:00,-1.05,1225.4365,0.44065,333.32852
139,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-21 09:00:00,0.25,1399.8436,0.4749,395.22607
140,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-22 09:00:00,0.35000002,1453.1511,0.45777503,384.84552
141,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-23 09:00:00,0.45,1470.6411,0.54340005,411.3153
142,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-25 09:00:00,,1369.1656,0.3379,275.93826
143,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-26 09:00:00,-0.5,1311.0166,0.30365,233.4957
144,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-27 09:00:00,-1.5,1186.1066,0.40640002,257.19592
145,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-28 09:00:00,,1301.6206,0.3379,282.02402
146,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-29 09:00:00,-1.85,1159.8131,0.37215003,241.85005
147,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-09-30 09:00:00,-1.85,1160.4412,0.37215003,207.86972
148,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-01-10 08:15:00,2.83,143.17598,3.127257,265.63568
149,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-02-10 09:00:00,-1.1,1233.3181,0.389275,282.18378
150,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-03-10 09:00:00,-0.54999995,1478.2856,0.423525,366.24905
151,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-04-10 09:00:00,-0.10000001,1389.4586,0.50915,368.5733
152,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-06-10 09:00:00,0.35000002,1431.5917,0.355025,290.20248
153,DAMAN,CWC,38,Daman & Diu,463,Daman,Daman,-,-,Daman Ganga,West flowing rivers from Tapi to Tadri,-,-,-,Daman Ganga,20.41,72.84,2023-07-10 09:00:00,0.45,1441.7477,0.3379,283.95923
