id,objectid,state,stcode,district,dtcode,shape_length,shape_area,ds_name,src_agency,state_name
352,352,ML,17,East Khasi Hills,274,335946.07851552137,2697896002.6709757,Administrative Boundary,Survey of India (SOI),Meghalaya
353,353,ML,17,West Jaintia Hills,275,299046.8724059289,1730306119.2201202,Administrative Boundary,Survey of India (SOI),Meghalaya
354,354,ML,17,Ri Bhoi,276,420177.08045060246,2332356762.1282177,Administrative Boundary,Survey of India (SOI),Meghalaya
355,355,ML,17,South Garo Hills,277,286362.152814352,1807408465.5820935,Administrative Boundary,Survey of India (SOI),Meghalaya
356,356,ML,17,West Garo Hills,278,344505.9644579375,2668068269.6803913,Administrative Boundary,Survey of India (SOI),Meghalaya
357,357,ML,17,West Khasi Hills,279,451845.59119657584,3779674784.153306,Administrative Boundary,Survey of India (SOI),Meghalaya
358,358,ML,17,North Garo Hills,656,270961.26408472063,916061106.0611842,Administrative Boundary,Survey of India (SOI),Meghalaya
359,359,ML,17,East Jaintia Hills,657,264144.3294058359,1937297681.2345386,Administrative Boundary,Survey of India (SOI),Meghalaya
360,360,ML,17,South West Khasi Hills,658,287392.8023814905,1235296271.3140078,Administrative Boundary,Survey of India (SOI),Meghalaya
361,361,ML,17,South West Garo Hills,663,131173.26838405026,673759747.461575,Administrative Boundary,Survey of India (SOI),Meghalaya
365,365,MN,14,Imphal East,255,626479.0257747209,380114656.2257313,Administrative Boundary,Survey of India (SOI),Manipur
366,366,MN,14,Imphal West,256,228192.9599750747,457344605.3222463,Administrative Boundary,Survey of India (SOI),Manipur
436,436,MZ,15,Saiha,267,278538.5018023622,1472813386.1202302,Administrative Boundary,Survey of India (SOI),Mizoram
437,437,MZ,15,Serchhip,268,291751.30729335843,1349331100.8291152,Administrative Boundary,Survey of India (SOI),Mizoram
438,438,NL,13,Dimapur,244,226588.45103849808,844895718.2664241,Administrative Boundary,Survey of India (SOI),Nagaland
439,439,NL,13,Kohima,245,201889.98347464498,1275100852.2992373,Administrative Boundary,Survey of India (SOI),Nagaland
440,440,NL,13,Mokokchung,246,305195.85801879625,1545213161.5145063,Administrative Boundary,Survey of India (SOI),Nagaland
441,441,NL,13,Mon,247,296672.5156742993,2097919349.293751,Administrative Boundary,Survey of India (SOI),Nagaland
442,442,NL,13,Phek,248,289430.8355725983,1801575121.7548485,Administrative Boundary,Survey of India (SOI),Nagaland
362,362,MN,14,Bishnupur,252,166786.98883078358,445592788.4397536,Administrative Boundary,Survey of India (SOI),Manipur
363,363,MN,14,Chandel,253,254469.7130191376,2031144676.9155028,Administrative Boundary,Survey of India (SOI),Manipur
364,364,MN,14,Churachandpur,254,290539.2145605779,2365185483.455339,Administrative Boundary,Survey of India (SOI),Manipur
367,367,MN,14,Senapati,257,239925.08896424196,1678259548.5716894,Administrative Boundary,Survey of India (SOI),Manipur
368,368,MN,14,Tamenglong,258,358444.31789839454,2925569457.1504383,Administrative Boundary,Survey of India (SOI),Manipur
374,374,MN,14,Noney,714,192907.20772394026,1084931247.646947,Administrative Boundary,Survey of India (SOI),Manipur
375,375,MN,14,Pherzawl,715,318230.40347995766,2176534924.145662,Administrative Boundary,Survey of India (SOI),Manipur
443,443,NL,13,Tuensang,249,274682.35347844404,2053528846.8678741,Administrative Boundary,Survey of India (SOI),Nagaland
369,369,MN,14,Thoubal,259,143651.15945176446,359556639.2472397,Administrative Boundary,Survey of India (SOI),Manipur
370,370,MN,14,Ukhrul,260,269868.29636739276,2067863027.1621308,Administrative Boundary,Survey of India (SOI),Manipur
410,410,MP,23,Rajgarh,422,459962.3679705607,5930520635.234161,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
411,411,MP,23,Ratlam,423,558804.9967061675,4674657766.619397,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
412,412,MP,23,Rewa,424,648693.8275407802,6053511499.936048,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
413,413,MP,23,Sagar,425,1015860.8213172544,9871936875.733923,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
414,414,MP,23,Satna,426,1008596.9112519079,7245261423.326445,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
415,415,MP,23,Sehore,427,858703.9758808042,6317330542.939734,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
416,416,MP,23,Seoni,428,704405.4932540759,8430756725.2328415,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
417,417,MP,23,Shahdol,429,604547.5739062625,5460958587.602149,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
418,418,MP,23,Shajapur,430,445668.63331947394,3329021200.515245,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
371,371,MN,14,Kakching,711,122176.7868987516,249243440.7578278,Administrative Boundary,Survey of India (SOI),Manipur
372,372,MN,14,Kangpokpi,712,929366.4484406721,1768694989.0942357,Administrative Boundary,Survey of India (SOI),Manipur
373,373,MN,14,Jiribam,713,118359.14399806768,167481713.18408385,Administrative Boundary,Survey of India (SOI),Manipur
419,419,MP,23,Sheopur,431,543932.1438332894,6358648638.237582,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
420,420,MP,23,Shivpuri,432,832767.1320565052,9691317499.280693,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
421,421,MP,23,Sidhi,433,518125.0450503843,4591479076.165631,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
422,422,MP,23,Tikamgarh,434,405670.5029166897,3549051523.79536,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
423,423,MP,23,Ujjain,435,720183.908448472,5867495186.851278,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
424,424,MP,23,Umaria,436,464849.40616803855,4401461041.178622,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
425,425,MP,23,Vidisha,437,668157.0710726238,7028007448.10904,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
426,426,MP,23,Singrauli,638,507516.4500559974,5543304562.765674,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
427,427,MP,23,Alirajpur,639,488022.3211010589,3213488234.2345076,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
428,428,MP,23,Agar Malwa,667,373490.5489756459,2628618401.5049734,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
429,429,MP,23,Niwari,722,464028.854755969,1293341191.363618,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
430,430,MZ,15,Aizawl,261,479362.5237913288,3002061620.780296,Administrative Boundary,Survey of India (SOI),Mizoram
431,431,MZ,15,Champhai,262,416038.90146979946,3269819352.0963244,Administrative Boundary,Survey of India (SOI),Mizoram
432,432,MZ,15,Kolasib,263,268346.81466923887,1535550684.1894054,Administrative Boundary,Survey of India (SOI),Mizoram
433,433,MZ,15,Lawngtlai,264,508398.0467560026,2333874855.9606137,Administrative Boundary,Survey of India (SOI),Mizoram
434,434,MZ,15,Lunglei,265,481134.0109370448,4363192439.129495,Administrative Boundary,Survey of India (SOI),Mizoram
435,435,MZ,15,Mamit,266,417790.0832364244,2948734741.5742526,Administrative Boundary,Survey of India (SOI),Mizoram
376,376,MN,14,Tengnoupal,716,194333.48151410263,1104037229.6609852,Administrative Boundary,Survey of India (SOI),Manipur
381,381,MP,23,Barwani,393,490332.92164734105,5227669065.969437,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
382,382,MP,23,Betul,394,723623.7809276445,9680344713.815414,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
383,383,MP,23,Bhind,395,586892.3435229912,4301134495.915147,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
384,384,MP,23,Bhopal,396,374880.45906655747,2660914703.6931305,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
385,385,MP,23,Burhanpur,397,330199.1239933309,3113189754.8595343,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
386,386,MP,23,Chhatarpur,398,989185.2992735468,8343984031.8286085,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
387,387,MP,23,Chhindwara,399,811478.6165422156,11369058066.052662,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
388,388,MP,23,Damoh,400,634094.7132218092,7023184007.291669,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
389,389,MP,23,Datia,401,550281.0508846354,2792229391.4375114,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
390,390,MP,23,Dewas,402,847350.3541175313,6745212341.06027,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
391,391,MP,23,Dhar,403,590664.9618353371,7847416077.884666,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
392,392,MP,23,Dindori,404,626633.9478840743,5579986369.3970175,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
393,393,MP,23,East Nimar,405,605900.5975214324,7197931899.133211,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
394,394,MP,23,Guna,406,673370.6844178626,6136556768.893843,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
395,395,MP,23,Gwalior,407,390091.52000146615,4392952819.43082,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
404,404,MP,23,Mandsaur,416,553754.6414781143,5339821875.172633,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
405,405,MP,23,Morena,417,629375.8992062248,4803158538.964583,Administrative Boundary,Survey of India (SOI),Madhya Pradesh
