Station,State,District,Tehsil,Block,River,Basin,Latitude,Longitude,Acquisition_Time,Reservoir_Storage_mcm
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-25 07:30:00,1569.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-26 07:30:00,1562.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-27 07:30:00,1544.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-28 07:30:00,1529.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-29 07:30:00,1513.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-30 07:30:00,1506.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-03-31 07:30:00,1493.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-01 07:30:00,1485.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-02 07:30:00,1467.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-03 07:30:00,1452.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-04 07:30:00,1432.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-05 07:30:00,1417.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-06 07:30:00,1396.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-07 07:30:00,1377.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-08 07:30:00,1367.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-09 07:30:00,1367.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-10 07:30:00,1367.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-11 07:30:00,1304.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-12 07:30:00,1291.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-13 07:30:00,1280.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-14 07:30:00,1262.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-15 07:30:00,1250.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-16 07:30:00,1235.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-17 07:30:00,1213.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-18 07:30:00,1199.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-19 07:30:00,1199.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-20 07:30:00,1199.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-21 07:30:00,1148.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-22 07:30:00,1127.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-23 07:30:00,1113.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-24 07:30:00,1095.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-25 07:30:00,1076.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-26 07:30:00,1053.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-27 07:30:00,1039.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-28 07:30:00,1013.0
RENGALI,Odisha,ANUGUL,KANIHA,-,Brahmani,West flowing rivers of Kutch and Saurashtra including Luni,21.283333,85.033333,2010-04-29 07:30:00,995.0
