Dist_Name,avg_elevation,min_elevation,max_elevation,avg_rainfall_mm,max_rainfall_mm,avg_temp,min_temp,max_temp,avg_air_pressure,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration,State_Name
Betul,652.0,652.0,652.0,3.2051040967092006,101.9,23.710208193418403,6.4,41.2,1009.7489590329079,13.474591542759846,0.659609051,0.086627039,0.572982012,26.0,2.0,1776782.0,6.0,Madhya Pradesh
Bhadohi,,,,,,,,,,13.979632076415218,12.0892717,1.079228201,11.0100435,36.0,0.0,1805095.0,30.0,Uttar Pradesh
Bhadradri Kothagudem,110.0,110.0,110.0,3.5484217595701817,162.1,27.585090664875754,13.4,43.7,1008.5547347212895,10.291820822002276,1.367448139,0.625093908,0.742354231,2.0,0.0,1149137.0,8.0,Andhra Pradesh
Bhadrak,5.0,5.0,5.0,6.73544794188862,288.0,27.17875261116085,9.5,43.4,1008.1137676292814,15.017488855468349,10.96625941,2.562091316,8.404168094,68.0,0.0,1613470.0,23.0,Odisha
Bhagalpur,40.0,36.0,44.0,4.598100048100048,174.0,25.511500563063066,3.0,42.8,1008.2749832102081,17.604486494190635,16.20260487,2.47274559,13.72985928,161.0,12.0,3509828.0,20.0,Bihar
Bhandara,,,,,,,,,,15.806534648057134,2.564278476,0.742932408,1.821346068,91.0,26.0,1132270.0,5.0,Maharashtra
Bharatpur,,,,,,,,,,17.131242714643918,2.342300583,0.003684995,2.338615588,98.0,252.0,2952552.0,5.0,Rajasthan
Bharuch,,,,,,,,,,17.568946762319865,3.432850261,1.612396534,1.820453727,233.0,56.0,1704669.0,14.0,Gujarat
Bhavnagar,5.942603924878666,5.0,8.0,2.9546350477363723,371.3,28.49246676514032,3.0,44.5,1008.7149764942915,14.866710246249184,1.164791431,1.145481372,0.019310059,225.0,6.0,2765060.0,14.0,Gujarat
Bhilwara,421.0,421.0,421.0,2.069576897246474,143.4,24.513901947615846,3.3,46.1,1009.448085963734,15.558022770832022,0.795160097,0.045229947,0.74993015,85.0,4.0,2821404.0,20.0,Rajasthan
Bhind,,,,,,,,,,13.121998929581226,2.808721208,0.119319241,2.689401967,25.0,0.0,1937516.0,6.0,Madhya Pradesh
Bhiwani,,,,,,,,,,13.861181519056318,2.188213606,0.000980524,2.187233082,31.0,6.0,1296415.0,5.0,Haryana
Bhojpur,,,,,,,,,,15.752007841506035,6.197224303,0.810391565,5.386832738,119.0,0.0,3338604.0,21.0,Bihar
Bhopal,523.0,523.0,523.0,6.296345029239767,320.0,25.392950462710942,4.0,45.4,1009.7154929577465,11.67764066032228,0.626374883,0.626869321,0.000494438,64.0,13.0,2938719.0,4.0,Madhya Pradesh
Bid,,,,,,,,,,16.327195488559887,0.847814579,0.573485427,0.274329152,242.0,15.0,3032850.0,4.0,Maharashtra
Bidar,663.0,663.0,663.0,2.53619879113499,94.4,25.42303559435863,11.4,42.3,1009.974479516454,15.210263157247708,1.344650341,0.577171919,0.767478422,89.0,7.0,1848763.0,8.0,Karnataka
Bijapur,593.0,593.0,593.0,2.221423774345198,72.0,26.25413028878442,13.4,42.2,1009.9506380120887,15.438205824489648,2.067319021,0.119061839,1.948257182,85.0,20.0,275997.0,9.0,Karnataka
Bijnor,269.0,269.0,269.0,3.2169912693082607,168.1,22.332034922766958,2.1,44.3,1008.7497649429147,15.029465062390958,3.55139876,0.063788983,3.487609777,56.0,0.0,4311589.0,24.0,Uttar Pradesh
Bikaner,223.0,223.0,223.0,1.0208926261319533,64.0,26.622861356932155,2.1,48.2,1008.1160510409671,16.457523131899894,0.693208661,0.008307225,0.684901436,61.0,23.0,3124233.0,14.0,Rajasthan
Bilaspur,589.0,589.0,589.0,2.5045668233713902,101.4,21.196843519140362,2.4,45.8,1009.549563465413,15.634530172393664,1.199971728,0.445297237,0.754674491,111.0,9.0,2180689.0,5.0,Himachal Pradesh
Bilaspur,589.0,589.0,589.0,2.5045668233713902,101.4,21.196843519140362,2.4,45.8,1009.549563465413,15.413478259569072,1.199971728,0.445297237,0.754674491,111.0,9.0,2180689.0,5.0,Himachal Pradesh
