id,objectid,subdistric,sdcode,district,dtcode,state,stcode,total_hous,total_popu,avg_hh,total_geog,forest_are,area_under,barren_un_,permanent_,land_under,culturable,fallows_la,current_fa,net_area_s,total_unir,area_irrig,canals_are,wells_tube,tanks_lake,waterfall_,shape_leng,shape_area,ds_name,src_agency,State_Name
4658,4658,Raniwara,0591,Jalore,104,RJ,08,36806.0,206831.0,538.70668217,98678.0,5576.0,6109.0,6995.0,3483.0,7.0,1719.0,6462.0,8310.0,60014.0,28082.0,31932.0,2569.0,28777.0,586.0,0.0,155021.78494491722,1020988928.6095375,Administrative Boundary,Survey of India (SOI),Rajasthan
4659,4659,Sheoganj,0592,Sirohi,115,RJ,08,29077.0,142329.0,342.36174302,89230.0,20243.0,5344.0,7852.0,7307.0,28.0,1519.0,9150.0,7452.0,30334.0,16991.0,13343.0,524.0,12819.0,0.0,0.0,182934.7335934273,941101514.1168864,Administrative Boundary,Survey of India (SOI),Rajasthan
514,514,Kodumur,5269,Kurnool,511,AP,28,15572.0,74594.0,47.22191854,23640.0,0.0,2700.0,1703.0,0.0,0.0,515.0,2542.0,1616.0,14558.0,16806.0,1912.0,747.0,1164.0,0.0,0.0,119727.7844406824,234695187.20168406,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
4660,4660,Sirohi,0593,Sirohi,115,RJ,08,37936.0,186079.0,428.76511345,116576.0,23383.0,13743.0,9869.0,6922.0,13.0,4218.0,17171.0,12336.0,28923.0,11682.0,17241.0,857.0,16384.0,0.0,0.0,162036.94512917928,1055314632.226593,Administrative Boundary,Survey of India (SOI),Rajasthan
4661,4661,Pindwara,0594,Sirohi,115,RJ,08,50311.0,261686.0,580.72921805,112106.0,42084.0,14244.0,9266.0,7865.0,38.0,1396.0,4901.0,3825.0,28478.0,18136.0,10337.0,1845.0,7999.0,342.0,0.0,187128.3893317753,1115413863.8708482,Administrative Boundary,Survey of India (SOI),Rajasthan
4662,4662,Abu Road,0595,Sirohi,115,RJ,08,43041.0,224404.0,460.85667534000004,84432.0,56938.0,3599.0,5439.0,1320.0,28.0,476.0,1242.0,906.0,14484.0,7583.0,6900.0,272.0,6604.0,24.0,0.0,176825.22589573538,765826492.0989443,Administrative Boundary,Survey of India (SOI),Rajasthan
4663,4663,Reodar,0596,Sirohi,115,RJ,08,41420.0,221848.0,699.7191182400001,107612.0,16607.0,8014.0,8673.0,8522.0,1679.0,2881.0,10792.0,10742.0,39686.0,13479.0,26206.0,2637.0,23071.0,0.0,0.0,196452.62340414678,1063360166.718406,Administrative Boundary,Survey of India (SOI),Rajasthan
4664,4664,Jaitaran,0597,Pali,111,RJ,08,46753.0,226776.0,521.6353027600001,134029.0,2048.0,13296.0,7415.0,10188.0,45.0,4297.0,7630.0,7163.0,81943.0,53358.0,28583.0,2648.0,25935.0,0.0,0.0,201328.36403105812,1353575195.801928,Administrative Boundary,Survey of India (SOI),Rajasthan
515,515,Gonegandla,5270,Kurnool,511,AP,28,14578.0,73873.0,80.46701134999999,27742.0,0.0,4824.0,1867.0,298.0,0.0,595.0,1374.0,4573.0,14208.0,13664.0,6491.0,3729.0,1962.0,800.0,0.0,123969.43765541216,267465735.00787807,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
516,516,Adoni,5271,Kurnool,511,AP,28,52503.0,269286.0,192.56019954,42579.0,1820.0,0.0,3732.0,0.0,0.0,4712.0,0.0,424.0,31890.0,29903.0,2411.0,1358.0,846.0,166.0,0.0,158023.24782827136,555054846.456884,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
517,517,Holagunda,5272,Kurnool,511,AP,28,9398.0,50592.0,105.4367857,32732.0,3592.0,3703.0,0.0,0.0,0.0,345.0,907.0,0.0,24184.0,20867.0,4225.0,2325.0,905.0,210.0,0.0,91765.41828442502,331383773.30526865,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
518,518,Halaharvi,5273,Kurnool,511,AP,28,7582.0,41123.0,131.33232551,28520.0,605.0,767.0,0.0,0.0,85.0,969.0,0.0,63.0,26028.0,21970.0,4126.0,3845.0,46.0,222.0,0.0,124279.13080787241,292189721.5362566,Administrative Boundary,Survey of India (SOI),Andhra Pradesh
4665,4665,Raipur,0598,Pali,111,RJ,08,43600.0,205254.0,656.93897069,108530.0,14475.0,15069.0,11828.0,8896.0,564.0,1107.0,2169.0,6755.0,47664.0,26133.0,21530.0,6743.0,14787.0,0.0,0.0,233513.65661275276,1001229472.4387666,Administrative Boundary,Survey of India (SOI),Rajasthan
4666,4666,Sojat,0599,Pali,111,RJ,08,46765.0,220854.0,590.75970693,159765.0,7032.0,12540.0,8727.0,9866.0,449.0,4631.0,11597.0,14120.0,90802.0,71947.0,18854.0,3753.0,15074.0,27.0,0.0,258105.1638034678,1607940213.5141912,Administrative Boundary,Survey of India (SOI),Rajasthan
4667,4667,Rohat,0600,Pali,111,RJ,08,22288.0,120963.0,434.66200292999997,135158.0,235.0,6197.0,7513.0,9643.0,194.0,6152.0,11624.0,10888.0,82703.0,74363.0,8341.0,3170.0,5171.0,0.0,0.0,233893.60037720937,1426999978.455343,Administrative Boundary,Survey of India (SOI),Rajasthan
4668,4668,Pali,0601,Pali,111,RJ,08,65349.0,336103.0,416.53283799,129094.0,2754.0,5844.0,8134.0,8212.0,125.0,5983.0,16233.0,15298.0,66490.0,57175.0,9318.0,2063.0,7124.0,131.0,0.0,199862.99480233132,1336588087.107302,Administrative Boundary,Survey of India (SOI),Rajasthan
4975,4975,Kilvelur,5800,Nagapattinam,579,TN,33,36871.0,138474.0,204.03647805999998,26465.0,0.0,4290.0,0.0,70.0,807.0,854.0,273.0,1314.0,18860.0,3812.0,15046.0,14894.0,152.0,0.0,0.0,157461.2597941889,281240993.8638941,Administrative Boundary,Survey of India (SOI),Tamil Nadu
