Dist_Name,State_Name,DFSI,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Human_fatality,Human_injured,Population,Mean_Flood_Duration
Bhiwani,Haryana,13.861181519056318,2.188213606,0.000980524,2.187233082,31,6,1296415,5.0
Bhojpur,Bihar,15.752007841506035,6.197224303,0.810391565,5.386832738,119,0,3338604,21.0
Bhopal,Madhya Pradesh,11.67764066032228,0.626374883,0.626869321,0.000494438,64,13,2938719,4.0
Bid,Maharashtra,16.327195488559887,0.847814579,0.573485427,0.274329152,242,15,3032850,4.0
Bidar,Karnataka,15.210263157247708,1.344650341,0.577171919,0.767478422,89,7,1848763,8.0
Bijapur,Chhattisgarh,15.438205824489648,2.067319021,0.119061839,1.948257182,85,20,275997,9.0
Bijnor,Uttar Pradesh,15.029465062390958,3.55139876,0.063788983,3.487609777,56,0,4311589,24.0
Bikaner,Rajasthan,16.457523131899894,0.693208661,0.008307225,0.684901436,61,23,3124233,14.0
Bilaspur,Chhattisgarh,15.634530172393664,1.199971728,0.445297237,0.754674491,111,9,2180689,5.0
Bilaspur,Himachal Pradesh,15.413478259569072,1.199971728,0.445297237,0.754674491,111,9,2180689,5.0
Bilaspur,Chhattisgarh,15.010063257516087,1.199971728,0.445297237,0.754674491,111,9,2180689,5.0
Bilaspur,Himachal Pradesh,14.789011344691492,1.199971728,0.445297237,0.754674491,111,9,2180689,5.0
Bilaspur,Chhattisgarh,15.634530172393664,6.380614515,4.196110632,2.184503883,111,9,2180689,5.0
Bilaspur,Himachal Pradesh,15.413478259569072,6.380614515,4.196110632,2.184503883,111,9,2180689,5.0
Bilaspur,Chhattisgarh,15.010063257516087,6.380614515,4.196110632,2.184503883,111,9,2180689,5.0
Bilaspur,Himachal Pradesh,14.789011344691492,6.380614515,4.196110632,2.184503883,111,9,2180689,5.0
Bilaspur,Chhattisgarh,15.634530172393664,1.199971728,0.445297237,0.754674491,111,9,517758,5.0
Bilaspur,Himachal Pradesh,15.413478259569072,1.199971728,0.445297237,0.754674491,111,9,517758,5.0
Bilaspur,Chhattisgarh,15.010063257516087,1.199971728,0.445297237,0.754674491,111,9,517758,5.0
Bilaspur,Himachal Pradesh,14.789011344691492,1.199971728,0.445297237,0.754674491,111,9,517758,5.0
Bilaspur,Chhattisgarh,15.634530172393664,6.380614515,4.196110632,2.184503883,111,9,517758,5.0
Bilaspur,Himachal Pradesh,15.413478259569072,6.380614515,4.196110632,2.184503883,111,9,517758,5.0
Bilaspur,Chhattisgarh,15.010063257516087,6.380614515,4.196110632,2.184503883,111,9,517758,5.0
Bilaspur,Himachal Pradesh,14.789011344691492,6.380614515,4.196110632,2.184503883,111,9,517758,5.0
Birbhum,West Bengal,16.588413943958574,4.557102699,0.073826304,4.483276395,186,1,4082552,31.0
Bishnupur,Manipur,5.479314363347237,3.487839839,3.486841412,0.000998427,1,0,299943,6.0
Biswanath,Assam,14.377846930502969,5.175865068,2.020191719,3.155673349,56,1,666698,10.0
Bokaro,Jharkhand,10.052560471915164,1.369848729,1.347818433,0.022030296,12,1,2426002,2.0
Bongaigaon,Assam,15.001631836615058,11.75738514,3.469432123,8.287953017,79,1,803266,11.0
Botad,Gujarat,13.385629591123912,0.962947549,0.085839662,0.877107887,38,1,737921,17.0
Budaun,Uttar Pradesh,16.11888766407801,3.899941243,0.043402472,3.856538771,90,4,3653296,23.0
Bulandshahr,Uttar Pradesh,16.156742626782666,4.647089954,0.043817515,4.603272439,142,1,4116049,24.0
Buldana,Maharashtra,14.778399410216522,0.570331597,0.427298223,0.143033374,92,7,2939030,3.0
Bundi,Rajasthan,15.82948386480906,2.12987866,0.138460405,1.991418255,137,4,1323567,17.0
Burhanpur,Madhya Pradesh,12.778778889751598,0.821960718,0.136420671,0.685540047,15,10,917654,6.0
Buxar,Bihar,15.01252575840675,5.8158623,0.526160857,5.289701443,89,0,2014287,25.0
Cachar,Assam,18.140456924041366,9.573358688,0.339758463,9.233600225,194,33,2105643,8.0
Central,Delhi,11.556032138850329,7.250541685,0.0,7.250541685,5,13,1667718,3.0
Chamarajanagara,Karnataka,12.976241045034715,2.083532915,0.145853665,1.93767925,20,1,1089392,9.0
Chamba,Himachal Pradesh,14.895307241291423,0.400300346,0.191863584,0.208436762,125,13,586226,5.0
Chamoli,Uttarakhand,18.05798993917151,1.044647093,0.05612071,0.988526383,1546,75,426828,4.0
Champawat,Uttarakhand,12.273131236919184,1.472908997,0.256522301,1.216386696,26,14,293584,2.0
Champhai,Mizoram,11.253727492530876,0.919185436,0.0,0.919185436,9,8,136805,3.0
Chandauli,Uttar Pradesh,14.75193730729792,8.940225734,1.049386239,7.890839495,40,1,2179069,28.0
Chandel,Manipur,7.865775829637234,0.632996,0.002124825,0.630871175,0,0,125173,7.0
Chandigarh,Chandigarh,8.444719669556333,0.001739235,0.000745464,0.000993771,17,13,897511,2.0
Chandrapur,Maharashtra,16.530213646482306,1.760192182,0.535308039,1.224884143,114,20,2348545,5.0
Changlang,Arunachal Pradesh,11.251637398872711,2.538486995,0.021259348,2.517227647,4,1,183018,5.0
Charaideo,Assam,14.498483193678696,16.05397104,0.010879162,16.04309188,50,1,496227,18.0
Charki Dadri,Haryana,9.619373407745462,0.854921696,0.002355435,0.852566261,2,0,545880,7.0
Chatra,Jharkhand,11.172518237918649,0.37639693,0.036811514,0.339585416,8,3,1313082,2.0
Chengalpattu,Tamil Nadu,14.338825559345638,4.817890104,2.065380723,2.752509381,36,4,3240797,10.0
Chennai,Tamil Nadu,16.62215635244921,4.645634657,1.072848464,3.572786193,238,21,5558758,8.0
Chhatarpur,Madhya Pradesh,12.460824774657857,1.27766675,0.251215844,1.026450906,12,0,2100270,6.0
Chhindwara,Madhya Pradesh,13.955243811560596,0.626598635,0.382961008,0.243637627,33,6,2383077,5.0
Chikkaballapura,Karnataka,13.40917971659012,0.292140809,0.110670649,0.18147016,34,7,1326139,7.0
Chikkamagaluru,Karnataka,13.92807228565061,1.355001002,0.868566012,0.48643499,40,6,1168539,7.0
Chirang,Assam,14.327177071038736,2.875769392,0.021873585,2.853895807,56,1,616102,9.0
Chitradurga,Karnataka,14.586114591603268,0.426895091,0.23997582,0.186919271,99,3,1798153,9.0
Chitrakoot,Uttar Pradesh,14.4798686527041,2.917583682,0.454897641,2.462686041,41,3,1269815,24.0
Chittaurgarh,Rajasthan,9.594135959660097,1.068551638,1.101782041,0.033230403,4,0,1838803,10.0
Chittoor,Andhra Pradesh,14.968531993958036,0.573483172,0.068957975,0.504525197,124,0,4580686,8.0
Chota Udaipur,Gujarat,11.771129154593742,0.859683354,0.747200646,0.112482708,22,0,1206205,16.0
Churachandpur,Manipur,8.413451680279724,1.167264968,0.2279733,0.939291668,0,0,257051,7.0
Churu,Rajasthan,15.457609817828727,0.776519408,0.00062635,0.775893058,43,14,2206492,25.0
Coimbatore,Tamil Nadu,15.81294135542745,0.519629022,0.20279264,0.316836382,142,24,4180340,5.0
Cooch Behar,West Bengal,17.04587802487752,7.872524259,0.371070198,7.501454061,337,3,3286533,8.0
Cuddalore,Tamil Nadu,15.662049981665302,6.561569456,0.689771711,5.871797745,63,10,2998319,4.0
Cuttack,Odisha,17.44880793951162,13.14840204,1.638891263,11.50951078,285,2,2887779,16.0
Dadra & Nagar Haveli,Dadra & Nagar Have,9.82021116955276,3.614704922,0.645537217,2.969167705,10,0,618459,1.0
Dakshin Bastar Dantewada,Chhattisgarh,7.263513106542463,1.73160173,0.05840241,1.67319932,0,0,332104,7.0
Dakshin Dinajpur,West Bengal,16.243608173190268,3.854366613,0.005980479,3.848386134,190,3,1838248,24.0
Dakshina Kannada,Karnataka,16.67252490434371,1.44861205,0.422123179,1.026488871,117,41,2388502,8.0
Daman,Daman & Diu,5.2337505446842085,2.853534384,1.308995942,1.544538442,0,0,190125,7.0
Damoh,Madhya Pradesh,12.953807470822902,1.37672163,0.183081246,1.193640384,26,0,1437365,6.0
Darbhanga,Bihar,17.744619139380248,10.08119281,0.024744941,10.05644787,207,9,4562640,18.0
Darjiling,West Bengal,18.01898148587533,2.014600116,0.096238867,1.918361249,548,63,1849559,11.0
Darrang,Assam,16.49301020590384,15.62408864,3.822695958,11.80139268,150,3,1126535,9.0
Datia,Madhya Pradesh,11.492406961849484,2.46515688,0.299925165,2.165231715,9,0,955153,6.0
Dausa,Rajasthan,13.21177452936812,0.503371084,0.004574126,0.498796958,17,3,2162212,30.0
Davanagere,Karnataka,14.5671206333669,0.757147753,0.419899366,0.337248387,57,6,2110205,11.0
Debagarh,Odisha,11.204453176669588,2.166747854,2.19247626,0.025728406,36,0,351390,32.0
Dehradun,Uttarakhand,16.331394182480402,1.565549733,0.084799737,1.480749996,232,17,2132260,6.0
Deoghar,Jharkhand,10.195271519719046,0.900022929,0.088257849,0.81176508,3,0,1878226,4.0
Deoria,Uttar Pradesh,17.491668267861357,7.998150162,0.303328624,7.694821538,211,11,3288259,19.0
Devbhumi Dwarka,Gujarat,12.768307391455854,0.632384691,0.65675835,0.024373659,59,2,898223,20.0
Dewas,Madhya Pradesh,13.55760707742869,1.037523564,0.405980697,0.631542867,17,18,1839994,5.0
Dhalai,Tripura,11.161184783193038,1.167627679,0.830802532,0.336825147,12,1,436885,4.0
Dhamtari,Chhattisgarh,9.737562775263704,1.523869436,1.570806706,0.04693727,13,1,897907,1.0
Dhanbad,Jharkhand,8.927454083908186,1.331577575,1.123698027,0.207879548,1,1,3014375,1.0
Dhar,Madhya Pradesh,12.222735675425495,0.815779757,0.487835201,0.327944556,14,0,2722423,5.0
Dharmapuri,Tamil Nadu,12.963906917019216,0.764553583,0.519672081,0.244881502,28,4,1771524,6.0
Dharwad,Karnataka,15.72960889374524,0.419364228,0.136242811,0.283121417,123,30,2085599,7.0
Dhaulpur,Rajasthan,14.322869345442635,3.16604113,0.385474633,2.780566497,62,0,1501877,21.0
Dhemaji,Assam,17.531994905456393,10.8217802,1.436232391,9.385547809,162,35,702202,9.0
Dhenkanal,Odisha,14.83228359745756,1.607306371,0.725516959,0.881789412,140,0,1387551,28.0
Dhubri,Assam,16.416419374958934,11.79092943,2.559481456,9.231447974,141,3,1376422,12.0
Dhule,Maharashtra,13.905379214570328,0.703409115,0.475721838,0.227687277,58,4,2456650,4.0
Dibrugarh,Assam,18.06823270299057,14.95295738,3.039084044,11.91387334,147,47,1510242,10.0
Dima Hasao,Assam,13.785682728615216,1.849797408,0.192925704,1.656871704,41,1,288305,8.0
Dimapur,Nagaland,8.881072108678037,1.720970931,0.004473913,1.716497018,1,0,510639,4.0
Dindigul,Tamil Nadu,14.460504975996663,0.458409501,0.079067201,0.3793423,52,12,2457758,6.0
Dindori,Madhya Pradesh,10.83104980705238,1.451159302,0.207929959,1.243229343,3,0,917721,7.0
Diu,Daman & Diu,4.269141538160504,5.79981831,4.979981831,0.819836479,0,0,67412,7.0
Doda,Jammu & Kashmir,14.487666525517204,0.541398151,0.270867996,0.270530155,122,34,563657,4.0
Dohad,Gujarat,12.50521505039512,0.331645594,0.201923678,0.129721916,25,0,2742293,25.0
Dumka,Jharkhand,10.5848069481936,0.826039058,0.598250003,0.227789055,8,0,1522340,6.0
Dungarpur,Rajasthan,12.3151833538887,0.586707161,0.388930127,0.197777034,10,3,1670388,30.0
Durg,Chhattisgarh,11.387358838485303,1.029480865,0.598727155,0.43075371,16,0,2010685,2.0
East,Delhi,14.147611779485713,0.1,0.0,0.1,0,0,1368632,7.0
East District,Sikkim,13.733855784396166,0.934153719,0.10298745,0.831166269,146,8,337891,2.0
East Garo Hills,Meghalaya,10.696820929375155,0.691122728,0.004744409,0.686378319,20,0,188522,4.0
East Godavari,Andhra Pradesh,17.021823993758144,6.191781457,2.48908494,3.702696517,222,1,5569277,9.0
East Jaintia Hills,Meghalaya,9.65998633260374,1.649728103,0.02228155,1.627446553,4,0,150787,5.0
East Kameng,Arunachal Pradesh,7.516648699454786,1.388336152,0.061410827,1.326925325,0,0,87734,2.0
East Khasi Hills,Meghalaya,12.893531577652482,1.226830999,0.077062889,1.14976811,20,9,1005453,2.0
East Nimar,Madhya Pradesh,9.24772357188089,1.041803014,1.03067221,0.011130804,4,0,1518478,7.0
East Siang,Arunachal Pradesh,13.92916281791021,3.916385666,1.35629866,2.560087006,13,668,86959,6.0
Ernakulam,Kerala,16.88354555320735,5.103357738,3.843019755,1.260337983,136,61,3428525,5.0
Erode,Tamil Nadu,14.637086139673444,1.28966656,0.635350328,0.654316232,64,9,2286982,6.0
Etah,Uttar Pradesh,14.857222982218246,1.185341675,0.000451786,1.184889889,106,1,2068262,23.0
Etawah,Uttar Pradesh,17.067086494018813,8.738456012,0.23711024,8.501345772,184,13,1845391,18.0
Faizabad,Uttar Pradesh,16.85165548633664,4.054677701,0.247188018,3.807489683,207,5,3092832,18.0
