PIC,dm_name,sdso,state,district,river,incharge,ht_found,cmp_year,basin,mx_wt_lel,frl,gs_st_cap,ds_sp_cap,dm_length,dm_type,purpose,latitude,longitude,Longitude,Latitude
MH287LH2971,Mahabaleshwarwadi Mi Tank,Maharashtra,Maharashtra,Satara,,"Wrd-Se, Satara Irrigation Circle, Satara",13.42,1975,Krishna,54.32,52.42,2.01,744.0,0,· HOMOGENEOUS EARTHEN DAM,Irrigation,"17° 30' 13.000"" N","74° 46' 44.000"" E",3453020.307400003,3303406.2107000016
MH290LH2972,Waghla - I,Maharashtra,Maharashtra,Jalgaon,,"Wrd-Se, Command Area Authority Development, Jalgaon",11.69,1975,Tapi,345.78,345.0,1.417,236.73,642,·  ZONED EARTHEN DAM,Irrigation / Water Supply,"20° 25' 26.000"" N","75° 7' 26.000"" E",3500158.584899999,3620115.6327
MH287LH2973,Masalwadi Mi Tank,Maharashtra,Maharashtra,,,"Wrd-Se, Satara Irrigation Circle, Satara",15.25,1973,Krishna,101.5,99.5,2.41,839.0,0,·  ZONED EARTHEN DAM,Irrigation,"17° 40' 13.000"" N","74° 50' 19.000"" E",3459940.677000001,3321361.5744999982
MH287LH2974,Gangoti Mi Tank,Maharashtra,Maharashtra,Satara,Local Nala,"Wrd-Se, Satara Irrigation Circle, Satara",14.4,1978,Krishna,99.5,97.75,1.79,327.0,0,·  ZONED EARTHEN DAM,Irrigation,"17° 35' 0.000"" N","74° 45' 48.000"" E",3451714.890900001,3312166.1171999983
MH290LH2975,Chinchpani,Maharashtra,Maharashtra,Jalgaon,,"Wrd-Se, Command Area Authority Development, Jalgaon",29.5,1984,Tapi,108.2,107.0,2.40474,202.76,0,·  ZONED EARTHEN DAM,Irrigation / Other Benefits,"21° 17' 8.000"" N","75° 31' 34.000"" E",3544349.409000002,3712382.4023
MH290LH2976,Devali Bhoras,Maharashtra,Maharashtra,,Girna,"Wrd-Se, Command Area Authority Development, Jalgaon",13.4,1974,Tapi,105.42,104.22,2.005,210.5,1860,·  ZONED EARTHEN DAM,Irrigation / Water Supply,"20° 57' 43.000"" N","75° 30' 30.000"" E",3541418.2092000023,3677281.9409000017
MH290LH2977,Pimpalgaon (W),Maharashtra,Maharashtra,Jalgaon,Jambhul,"Wrd-Se, Command Area Authority Development, Jalgaon",10.06,1990,Tapi,104.9,103.75,0.899,191.02,0,·  ZONED EARTHEN DAM,Irrigation,"20° 39' 56.000"" N","75° 42' 48.000"" E",3561361.027400002,3644420.0320000015
MH287LH2979,Jhashi Mi Tank,Maharashtra,Maharashtra,Satara,Waghzai,"Wrd-Se, Satara Irrigation Circle, Satara",16.51,1996,Krishna,111.5,111.0,3.91,858.62,0,·  ZONED EARTHEN DAM,Irrigation,"17° 42' 39.000"" N","74° 40' 17.000"" E",3442619.0793000013,3326437.1448
MH330MH2980,Mandwa,Maharashtra,Maharashtra,Buldhana,,"Wrd-Se, Buldana Irrigation Project Circle, Buldana",18.52,1976,Godavari,520.3,517.8,4.101,725.0,666,·  ZONED EARTHEN DAM,Irrigation,"19° 53' 45.000"" N","76° 40' 21.000"" E",3657510.9323000014,3558061.9728000015
MH287LH2981,Pargaon Mi Tank,Maharashtra,Maharashtra,Satara,,"Wrd-Se, Satara Irrigation Circle, Satara",13.65,1878,Krishna,107.0,107.0,1.09,811.0,0,·  ZONED EARTHEN DAM,Irrigation,"17° 26' 40.000"" N","74° 17' 57.000"" E",3402528.025600001,3298897.736299999
MH287LH2982,Shirawadi Mi Tank,Maharashtra,Maharashtra,Satara,,"Wrd-Se, Satara Irrigation Circle, Satara",14.2,1988,Krishna,112.2,112.2,1.93,645.0,0,·  ZONED EARTHEN DAM,Irrigation,"17° 29' 55.000"" N","74° 26' 40.000"" E",3417978.9646999985,3304200.5472999997
MH287LH2983,Satewadi Mi Tank,Maharashtra,Maharashtra,Satara,,"Wrd-Se, Satara Irrigation Circle, Satara",13.6,1975,Krishna,95.85,94.85,1.04,543.0,0,·  ZONED EARTHEN DAM,Irrigation,"17° 37' 51.000"" N","74° 37' 38.000"" E",3437668.441200003,3317885.166200001
