SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,RL_MSL,Data Acquisition Time,Groundwater Level Telemetry 6 Hourly (meter)
83,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,16-01-2026 00:00,-17.465
84,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,16-01-2026 06:00,-17.349
85,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,16-01-2026 12:00,-17.507
86,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,16-01-2026 18:00,-17.702
87,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,17-01-2026 00:00,-17.526
88,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,17-01-2026 06:00,-17.39
89,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,17-01-2026 12:00,-17.507
90,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,17-01-2026 18:00,-17.64
91,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,20-01-2026 12:00,-17.402
92,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,20-01-2026 18:00,-17.533
93,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,21-01-2026 00:00,-17.471
94,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,21-01-2026 06:00,-17.355
95,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,23-01-2026 12:00,-17.552
96,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,23-01-2026 18:00,-17.682
97,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,17-03-2026 00:00,-20.456
98,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,17-03-2026 06:00,-20.278
99,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,17-03-2026 12:00,-20.569
100,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,17-03-2026 18:00,-20.725
101,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,18-03-2026 00:00,-20.608
102,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,18-03-2026 06:00,-20.422
103,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,18-03-2026 12:00,-20.689
104,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,18-03-2026 18:00,-20.818
105,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,19-03-2026 00:00,-20.727
106,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,19-03-2026 06:00,-20.365
107,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,19-03-2026 12:00,-20.289
108,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,19-03-2026 18:00,-20.111
109,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,20-03-2026 00:00,-506.597
110,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,20-03-2026 06:00,-19.654
111,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,20-03-2026 12:00,-19.699
112,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,20-03-2026 18:00,-19.753
113,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,21-03-2026 00:00,-19.584
114,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,21-03-2026 06:00,-19.443
115,Bahour Bahour,Puducherry,34,Puducherry,600,Puducherry,Bahour,Bahour,Bahour,-,-,-,-,-,-,11.80585833,79.74838889,,21-03-2026 12:00,-19.641
