SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
76,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,04-10-2022 08:30,46.2
77,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,05-10-2022 08:30,15.7
78,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,12-10-2022 08:30,22.2
79,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,21-06-2023 08:30,3.2
80,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,26-06-2023 08:30,6.4
81,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,27-06-2023 08:30,2.2
82,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,28-06-2023 08:30,13.4
83,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,29-06-2023 08:30,20.2
84,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,30-06-2023 08:30,15.4
85,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,02-07-2023 08:30,20.4
86,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,05-07-2023 08:30,22.4
87,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,18-07-2023 08:30,16.4
88,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,22-07-2023 08:30,8.4
89,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,31-07-2023 08:30,7
90,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,02-08-2023 08:30,16.6
91,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,03-08-2023 08:30,14.4
92,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,08-08-2023 08:30,16.4
93,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,14-08-2023 08:30,16.4
94,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,18-08-2023 08:30,21.4
95,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,24-08-2023 08:30,12.4
96,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,25-08-2023 08:30,14.4
97,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,06-09-2023 08:30,32.2
98,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,08-09-2023 08:30,33.6
99,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,09-09-2023 08:30,50.2
100,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,15-09-2023 08:30,4
101,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,21-09-2023 08:30,18.2
102,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,22-09-2023 08:30,14.6
103,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,23-09-2023 08:30,6.4
104,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,25-09-2023 08:30,14.4
105,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,30-09-2023 08:30,40.8
106,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,01-10-2023 08:30,40.2
107,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,02-10-2023 08:30,6.4
108,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,03-10-2023 08:30,14.8
109,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,04-10-2023 08:30,20.8
110,Barkisuriya,Damodar Valley Corporation(DVC),20,Jharkhand,329,GIRIDIH,GIRIDIH,-,-,Ganga,Ganga,Damodar,Barakar,-,Barakar,24.22083333,85.90277778,05-10-2023 08:30,22.8
111,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,02-06-2021 08:30,3.6
112,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,04-06-2021 08:30,2.6
113,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,05-06-2021 08:30,0.8
114,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,12-06-2021 08:30,3.2
115,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,13-06-2021 08:30,9.2
116,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,14-06-2021 08:30,8.2
117,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,15-06-2021 08:30,4.2
118,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,16-06-2021 08:30,1.4
119,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,17-06-2021 08:30,22.8
120,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,18-06-2021 08:30,8.4
121,Chandrapura (CTPS),Damodar Valley Corporation(DVC),20,Jharkhand,322,BOKARO,CHAS,-,-,Ganga,Ganga,Damodar,-,-,Damodar,23.73055556,86.12222222,19-06-2021 08:30,5.6
