SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Manual Daily Rainfall (mm)
113,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,28-09-2021 10:00,2.8
114,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,29-09-2021 10:00,5.4
115,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,30-09-2021 10:00,3.8
116,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,02-10-2021 10:00,11.6
117,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,03-10-2021 10:00,6
118,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,04-10-2021 10:00,74.2
119,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,05-10-2021 10:00,15.2
120,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,06-10-2021 10:00,2.8
121,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,09-10-2021 10:00,14.6
122,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,14-10-2021 10:00,14
123,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,18-10-2021 10:00,11.6
124,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,19-10-2021 10:00,28.4
125,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,20-10-2021 10:00,16.4
126,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,21-10-2021 10:00,45.4
127,Khliehriat ORG,Meghalaya,17,Meghalaya,657,East Jaintia Hills,KHLIEHRIAT,-,-,Myntudu,Barak and Others,-,-,-,Myntudu,25.35722222,92.37000000,07-12-2021 10:00,14.8
